Mês/Ano,Região,Estado,Produto,Quantidade (m³)
08/2023,CENTRO OESTE,Goiás,ÁCIDO GRAXO DE ÓLEO DE SOJA,652
08/2023,CENTRO OESTE,Mato Grosso,ÁCIDO GRAXO DE ÓLEO DE SOJA,956
08/2023,SUDESTE,São Paulo,ÁCIDO GRAXO DE ÓLEO DE SOJA,511
08/2023,CENTRO OESTE,Goiás,GORDURA BOVINA,6595
08/2023,CENTRO OESTE,Mato Grosso,GORDURA BOVINA,447
08/2023,NORDESTE,Bahia,GORDURA BOVINA,11416
08/2023,NORTE,Pará,GORDURA BOVINA,1208
08/2023,NORTE,Rondônia,GORDURA BOVINA,3800
08/2023,SUDESTE,Minas Gerais,GORDURA BOVINA,1502
08/2023,SUL,Paraná,GORDURA BOVINA,745
08/2023,SUL,Rio Grande do Sul,GORDURA BOVINA,10288
08/2023,SUL,Santa Catarina,GORDURA BOVINA,169
08/2023,SUL,Paraná,GORDURA DE FRANGO,4500
08/2023,CENTRO OESTE,Goiás,GORDURA DE PORCO,4603
08/2023,SUDESTE,Rio de Janeiro,GORDURA DE PORCO,3354
08/2023,SUL,Paraná,GORDURA DE PORCO,315
08/2023,SUL,Rio Grande do Sul,GORDURA DE PORCO,2314
08/2023,CENTRO OESTE,Goiás,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),2838
08/2023,CENTRO OESTE,Mato Grosso,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),1385
08/2023,NORDESTE,Bahia,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),3988
08/2023,SUL,Rio Grande do Sul,ÓLEO DE COLZA/CANOLA (BRESSICA CAMPESTRIS),203
08/2023,CENTRO OESTE,Goiás,ÓLEO DE FRITURA USADO,198
08/2023,NORDESTE,Bahia,ÓLEO DE FRITURA USADO,858
08/2023,NORTE,Rondônia,ÓLEO DE FRITURA USADO,22
08/2023,NORTE,Tocantins,ÓLEO DE FRITURA USADO,12
08/2023,SUDESTE,Rio de Janeiro,ÓLEO DE FRITURA USADO,5785
08/2023,SUL,Paraná,ÓLEO DE FRITURA USADO,497
08/2023,SUL,Rio Grande do Sul,ÓLEO DE FRITURA USADO,583
08/2023,SUL,Santa Catarina,ÓLEO DE FRITURA USADO,38
08/2023,CENTRO OESTE,Goiás,ÓLEO DE MILHO,291
08/2023,SUL,Paraná,ÓLEO DE MILHO,511
08/2023,SUL,Rio Grande do Sul,ÓLEO DE MILHO,1180
08/2023,SUL,Santa Catarina,ÓLEO DE MILHO,204
08/2023,CENTRO OESTE,Goiás,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,4728
08/2023,NORDESTE,Bahia,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,1613
08/2023,NORTE,Pará,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,13650
